,,1
1,1,-7300.0
1,2,-7300.0
1,3,-7300.0
1,4,-7300.0
1,5,-7300.0
1,6,-7300.0
1,7,-4999.999999999998
1,8,7300.000000000262
1,9,-299.9999999999977
1,10,2652.173913041378
1,11,7300.000000001467
1,12,7300.000000002236
1,13,-7300.0
1,14,-7299.999999999999
1,15,-300.0000000000009
1,16,7300.000000000002
1,17,-300.0000000000123
1,18,-2039.1304347847595
1,19,-7300.0
1,20,-7300.0
1,21,-7300.0
1,22,-7300.0
1,23,-7300.0
1,24,-7300.0
2,1,-7300.0
2,2,-7300.0
2,3,-7300.0
2,4,-7300.0
2,5,-7300.0
2,6,-7300.0
2,7,-4999.999999999998
2,8,7300.000000000263
2,9,-299.9999999999977
2,10,2652.173913041379
2,11,7300.000000001471
2,12,7300.000000002241
2,13,-7300.0
2,14,-7299.999999999999
2,15,-300.00000000000045
2,16,7300.000000000002
2,17,-300.0000000000098
2,18,-2039.1304347847436
2,19,-7300.0
2,20,-7300.0
2,21,-7300.0
2,22,-7300.0
2,23,-7300.0
2,24,-7300.0
3,1,-7300.0
3,2,-7300.0
3,3,-7300.0
3,4,-7300.0
3,5,-7300.0
3,6,-7300.0
3,7,-4999.999999999998
3,8,7300.000000000255
3,9,-299.99999999999636
3,10,2652.17391304138
3,11,7300.000000001468
3,12,7300.000000002237
3,13,-7300.0
3,14,-7299.999999999999
3,15,-300.00000000000045
3,16,7300.000000000003
3,17,-300.00000000001376
3,18,-2039.1304347847504
3,19,-7300.0
3,20,-7300.0
3,21,-7300.0
3,22,-7300.0
3,23,-7300.0
3,24,-7300.0
