dT,import_price,export_price,RealHour
1,0.0000403,0.00006,18
1,0.0000331,0.00006,19
1,0.0000229,0.00006,20
1,0.00002,0.00006,21
1,0.0000142,0.00006,22
1,0.0000142,0.00006,23
1,0.0000218,0.00006,24
1,0.0000458,0.00006,1
1,0.0000656,0.00006,2
1,0.0000624,0.00006,3
1,0.0000499,0.00006,4
1,0.0000402,0.00006,5
1,0.0000324,0.00006,6
1,0.0000302,0.00006,7
1,0.000026,0.00006,8
1,0.00003,0.00006,9
1,0.000045,0.00006,10
1,0.0000617,0.00006,11
1,0.0000771,0.00006,12
1,0.0000797,0.00006,13
1,0.0000662,0.00006,14
1,0.0000529,0.00006,15
1,0.0000401,0.00006,16
1,0.0000223,0.00006,17
